id	location	interpretation
fr_3674	se la couler douce	"""se la couler douce"" (se laisser aller)/couler (tomber au fond de l'eau)
couler/eau/rivière"
fr_3677	resistance	resistance/resistance électrique
fr_3681	au bar	au bar / au barreau
fr_3684	toast	toast (pain) / toast (célébration)
fr_3688	un vrai rayon de soleil	"un vrai rayon de soleil /  ""un vrai rayon de soleil"" (toujours de bonne humeur)"
fr_3689	Delarue	Delarue (Jean-Luc Delarue) / de la rue
fr_3698	transparent	transparent / parent
fr_3704	chargé	charge {électricité} / charge (responsabilité) 
fr_3709	bâtit	bâtit (bâtir) / battit (battre)
fr_3711	profondeur	profondeur (dimension) / profondeur (complexité)
fr_3717	ça me donne la chair de poule	"donner la chair de poule / ""donner la chair de poule"" (faire peur)"
fr_3723	plonger	plonger (réduction drastique) / plonger (aller sous la surface de l'eau)
fr_3755	chaleureuse	chaleureuse / chaleur
fr_3757	chevalet	chevalet / cheval ~ pistolet
fr_3764	pousser sa chance	"pousser sa chance / ""pousser sa chance"" (aller trop loin)"
fr_3765	pirouette	pirouette/girouette
fr_3787	Roi Pécho	Roi pêcheur + pécho (attraper)
fr_3790	couronnes	couronne (diadème) / couronne (prothèse)
fr_3793	piquant	piquant (épicé) / piquant (couvert d'épines)
fr_3798	encre	encre / ancre
fr_3799	vie Nil	vie Nil / vinyl
fr_3813	gélule Vidal	gélule Vidal / J'ai lu le Vidal
fr_3814	l'honorabilité | Votre Honneur	honorabilité (qualité d'une personne)/Votre Honneur (juge)
fr_3822	blé	blé (céréale) / blé (argent)
fr_3833	étaler	étaler (étendre en couche mince) / étaler (s'exprimer abondamment)
fr_3834	en suivant le troupeau	"suivre le troupeau (marcher derrière) / ""suivre le troupeau"" (suivre bêtement le comportement des autres)"
fr_3835	pété un câble	espace (volume) / espace (univers)
fr_3852	algorithmes	algorithmes / rythmes
fr_3853	crochets	crochets (bout d'une ligne de pêche) / crochets (coup de poing)
fr_3856	veine	veine (chance) / veine (filon)
fr_3867	fracassante	fracassant (surprenant) / fracasser (casser)
fr_3868	n'ont pas de coeur	"""ne pas avoir de coeur""/coeur"
fr_3887	réservé	réservé (timide) /  réservé (exclusif)
fr_3893	mortel	mortel (génial)/mortel (en rapport avec la mort)
fr_3899	ferme	ferme (intransigeante) / ferme (exploitation agricole)
fr_3901	être cité	être cité/excité ~ existé
fr_3906	coton	coton (fibre) / coton (délicat)
fr_3920	voiler	voiler (cacher) / voile {bateau}
fr_3928	cimenter	"cimenter / ""cimenter"" (consolider)"
fr_3936	poignée	poignée (petite quantité) / poignée (ce qui tient dans la main)
fr_3937	toast	toast (pain) / toast (célébration)
fr_3940	grec	grec (origine) / grec (restaurant)
fr_3952	droits	droit (honnête) /  droite {géométrie}
fr_3953	ils en ont toujours sous le capot	"en avoir sous le capot / ""en avoir sous le capot"" (avoir des ressources)"
fr_3968	carats	carats / carottes
fr_3973	paradis | enfer	paradis & enfer
fr_3984	vin	vin / vain
fr_3995	verre tornade	"tornade / ""verre tornade"""
fr_4006	humerus	humerus / humour
fr_4008	pointa	pointer (indiquer) / pointe (clou)
fr_4022	noyauter	noyauter / noyau
fr_4039	métal	métal {matériau} / metal {musique}
fr_4050	fondu	fondre (disparaître) / fondre (se liquéfier)
fr_4052	ne feraient pas de cadeau	"""ne pas faire de cadeau"" (être impitoyable) / ne pas faire de cadeau (ne pas offrir de cadeau)"
fr_4057	dard-dard	dard (aiguillon) / dare-dare (aussitôt)
fr_4071	Grèce	grèce / graisse
fr_4087	racine	racine (origine) / racine {mathématiques}
fr_4091	trou	trou {golf} / trou (manque)
fr_4095	rêve	rêve (objectif) / rêve (onirique)
fr_4097	voir plus clair	"voir plus clair /  ""voir plus clair"" (voir mieux)"
fr_4104	brûlait les lèvres	"brûler les lèvres / ""brûler les lèvres"" (nécessiter d'être dit)"
fr_4107	bovine | divine	bovine / divine
fr_4116	couronne	couronne (diadème) / couronne (prothèse)
fr_4117	maintenant	maintenant / mains tenant
fr_4119	humeuuuuuuur	humeur + meuh (cri d'une vache)
fr_4131	développée	développer (accroître) / développer {photographie}
fr_4144	pointe	"pointe (aiguille) / ""de pointe"" (très avancé)"
fr_4149	péter	péter un plomb (devenir four) / péter (exploser)
fr_4158	dicopédie	encyclopédie + dictionnaire
fr_4161	diriger	moyen (milieu) / moyenne (indice)
fr_4165	rationnel	rationnel / ratio {mathématiques}
fr_4169	courses	courses / cours
fr_4172	enrober	"enrober / ""enrober ses propos"" (choisir ses mots)"
fr_4174	beau-THÉ	beauté + thé
fr_4177	hors du monde	hors du monde (incroyable) / hors du monde (en dehors de la Terre)
fr_4178	dard-dard	"voir venir / ""voir venir"" (avoir ce qu'il faut)"
fr_4179	bal	"""pas de bol"" + bal"
fr_4189	hospitalièrement	hospitalièrement / hôpital
fr_4192	graphite	graphite (minerai) / graphiste
fr_4199	garage	garage / garrenne + rage
fr_4211	Dombay	"Dombay / ""tomber la chemise"""
fr_4218	on y croix	on y croix / on y croit
fr_4224	pomme	pomme (fruit) / pomme (fruit defendu)
fr_4242	apatite	apatite / appétit
fr_4244	thé	thé / T (lettre)
fr_4245	enivrant	enivrant {alcool} / enivrant (exaltant)
fr_4255	exploser	exploser (détoner) / exploser (se mettre en colère)
fr_4280	reste en mouvement	"""rester en mouvement"" (apprendre, économiser, agir) / rester en mouvement (marcher)"
fr_4292	scié	scier (couper) / scier (étonner) 
fr_4293	meule	<foin; botte; meule> ~  je meule jure / je me le jure 
fr_4304	chouette	chouette (oiseau) / chouette (sympa)
fr_4310	tournée	tournée / dervish tourneur
fr_4320	angors-dis	angors + engourdis
fr_4324	sortit	entrer & sortir
fr_4326	remplie	rempli (garni) / rempli (occupé)
fr_4327	équerrir	équerre / acquérir
fr_4338	trône	trône (siège) / trône (toilettes)
fr_4341	fondu	fondre (disparaître) / fondre (se liquéfier)
fr_4342	cuisiner	cuisiner (faire à manger)/cuisiner (interroger)
fr_4346	brama	brama / Brahms (Johannes Brahms)
fr_4358	tangente	tangente (sortie) / tangente {mathématiques}
fr_4365	lourde	arme lourde (artillerie) / lourde (grasse)
fr_4367	qui est-ce	écho/échographie
fr_4380	impression	impression {imprimerie} / impression (opinion)
fr_4382	prête | prêt	prête / prêt
fr_4384	marches	marches / mars
fr_4385	Barbe à ras	relent (odeur) + relançant (relancer)
fr_4391	ventilées	ventilé (aéré) / ventilé (réparti)
fr_4423	sécante	sécante / seconde
fr_4429	patron	patron (employeur) /  patron (modèle)
fr_4446	botter	botter (donner une coup de bied / botte {randonnée}
fr_4455	sur tous les plans	"sur tous les plans / ""sur tous les plans"" (partout)"
fr_4461	s'est plié en quatre	se plier en quatre (se démener)/quatre (place)
fr_4468	Océane	Océane (prénom) / océan
fr_4471	hostile | au style	hostile/au style
fr_4481	prenez | prendra	prenez (choisir) / prendra (récupérer un client)
fr_4482	pris la mouche	"""prendre la mouche"" / mouche"
fr_4490	Frisons	Frisons / frissons
fr_4495	juteuses	juteuses (informations pertinentes et actuelles) / juteuses (avec du jus)
fr_4497	alarmer	alarme (signal) / alarme (angoisse)
fr_4506	compte	"compte {banque} / ""à bon compte"" (avec peu de conséquences)"
fr_4507	voie	voie (rail)/changer de voie (changer de carrière)
fr_4508	maca-rond	macaron + rond
fr_4525	Kodiak	kodiak (espèce d'ours) / Kodak (appareil photo)
fr_4526	bordeaux	bordeaux / bord d'eaux
fr_4527	la bouche en cœur	"bouche / ""la bouche en cœur"""
fr_4538	reptuiles	reptiles + tuiles
fr_4545	dirigez	diriger (conduire) / diriger (donner les ordres)
fr_4553	se mêla	se mêler (intervenir) / emmêler
fr_4554	stade	stade (étape) / stade {psychanalyse}
fr_4555	mûres	mûre (fruit rouge) / rûme (quand un fruit est complétement développé)
fr_4558	buchés	buche + buté
fr_4561	phoque you	phoque you / fuck you
fr_4566	ïamBic	ïambique + BIC
fr_4580	chouette	chouette (oiseau) / chouette (sympa)
fr_4590	mis au banc	"mis au banc /  ""mis au banc"" (isolé)"
fr_4592	halées	halées / allées
fr_4613	se partageaient le gâteau	"se partager le gâteau / ""se partager le gâteau"" (partager équitablement)"
fr_4614	rapidement	rapidement / rapide (court d'eau)
fr_4615	étincelants	étincelants (propre) / étincelants (remarquable)
fr_4625	accord	accord (entente) / accord (combinaison de notes de musique)
fr_4650	apatite	apatite / appétit
fr_4654	ils se laissent porter par les ventes	se laisser porter par le vent + ventes
fr_4663	tante à Sion	tante à Sion / tentation
fr_4690	Dong	Dong (monnaie du Vietnam) / Dong (onomatopée)
fr_4700	éjecté	éjecter (projeter) / éjecter (expulser)
fr_4704	ils virent parfois de bord	"virer de bord / ""virer de bord"" (changer)"
fr_4706	épis	épi (mèche rebelle)/épi (maïs)
fr_4715	sac m'amuse	sac m'amuse/ça m'amuse
fr_4719	déterminé	déterminé (décidé) / déterminant {grammaire}
fr_4731	retours	retour (rentrer chez soi) / retour (avis)
fr_4744	se livre	se livrer (se confier, expliquer sa pensée) / livre {littérature}
fr_4745	cabrer	cabrer / qu'après
fr_4753	vivant	vivant (en vie) / vivant (actif)
fr_4777	bovine | divine	bovine / divine
fr_4778	qu'il stats	qu'il stats / qu'il se tâte
fr_4785	présence	adhérer (coller) / adhérer (être d'accord)
fr_4801	réflexion	réflexion (raisonnement) / réflexion (reflet)
fr_4811	patentés	"patente (impôt) / ""patenté"" (confirmé)"
fr_4822	corporel	corporel / caporal
fr_4831	expressions	expression {mathématiques} / expression {visage}
fr_4832	œuf	œuf/ œil
fr_4836	buller	buller (paresser) /  bulle
fr_4850	une bêche d'enfer	"""une pêche d'enfer"" / bêche"
fr_4856	décrocher	décrocher / des crochets
fr_4864	fin / feinte	fin / feinte
fr_4876	félin	"""fait l'un pour l'autre"" + félin"
fr_4883	chagrin | deuil | épineuse	<chagrin; deuil; épineuse>
fr_4891	transparent	transparent / parent
fr_4898	ils mangent juste les pissenlits par la racine	"manger les pissenlits par la racine /  ""manger les pissenlits par la racine"" (mourir)"
fr_4916	porc, ou porte	porc/porte
fr_4920	voyager	voyager (se déplacer d'un point à un autre)/voyager (s'évader) ~ <destination; voyager>
fr_4930	difficiles à trouver	trouver (recruter)/trouver (localiser)
fr_4934	gros sur la patate	"gros / ""en avoir gros sur la patate"" (être contrarié)"
fr_4963	tartine	tartine (tranche de pain) / tartine (long texte)
fr_4964	lionne	lionne / ligne
fr_4971	joint	joint / juin
fr_4975	problèmes	problèmes (difficultés) / problèmes {mathématiques}
fr_4983	[0]	brillants (talentueux) / brillants (propre)
fr_4990	crache	cracher (sens literal)/cracher (propager des mensonges)
fr_4995	roulent sur l'or	"""rouler sur l'or"" (être riche)/rouler "
fr_4998	sensuali-THÉ	sensualité + thé
fr_5004	mieux vaut prévenir que maudire	mieux vaut prévenir que guérir/maudire
fr_5034	crâmement	crâmer + crânement
fr_5035	aurore	aurore / horreur
fr_5044	la tête sur les épaules	"avoir la tête sur les épaules /  ""avoir la tête sur les épaules"" (être pragmatique)"
fr_5055	Dès maintenant	Dès maintenant / des mains tenants
fr_5115	avachi dans le salon	avocat de l'accusation / avachi dans le salon
fr_5118	potentiel	potentiel {électricité} / potentiel (ressources) 
fr_5132	filet	filet / filer
fr_5134	patient	patient (persévérant) / patient (client)
fr_5137	grillé, l'agrias	allitération en 'gr'
fr_5154	tante	tante / tenter
fr_5171	ânonna	ânonna / Hanouna (Cyrile Hanouna)
fr_5172	poule mouillée	"poule mouillée / ""poule mouillée"" (lâche) ~ <canard; poule>"
fr_5184	piocher	piocher (se servir) / piocher (donner des coups de pioche)
fr_5191	cordes	corde (pluie) / corde (corde à linge)
fr_5199	Alain Specteur	Alain Specteur / inspecteur
fr_5202	pointe	"pointe (aiguille) / ""à la pointe"" (très avancé)"
fr_5211	pieds	pied {anatomie} / pied (unité de mesure)
fr_5212	Mostra	Mostra / montra
fr_5228	Manuel	Manuel (prénom) / manuel (livre)
fr_5233	ajoutées	ajouter {mathématiques} / ajouter (enrichir)
fr_5237	ils se décomposent	décomposer (détailler) / décomposer (pourrir)
fr_5240	banane	banane (fruit)/banane (coupe de cheveux)
fr_5261	prendre	prendre (voler) / prendre (utiliser)
fr_5262	électrisé	électrisé (excité) / électrisé (électrique)
fr_5267	tuyaux	tuyau (astuce) / tuyau (canalisation)
fr_5279	nems | mourizr	nems / n'aiment | mourir + riz
fr_5281	Généraux	général (grade) / général (global)
fr_5292	être bonne pâte	"être bonne pâte /  ""être bonne pâte"" (avoir bon caractère)"
fr_5293	feu | glace	feu & glace
fr_5294	accord	accord (entente) / accord (combinaison de notes de musique)
fr_5300	cantonner | échiner	cantonner / cantonnais | échiner / chine
fr_5317	semelle	semelle / semaine
fr_5336	brillants	brillant (lumineux)/brillant (intelligent)
fr_5339	grillé	griller (rôtir) / griller (démasquer)
fr_5345	expressions	expression {mathématiques} / expression {visage}
fr_5347	collocs attérés	supériorité + or
fr_5352	Perrault-ra	Perrault-ra / pérora
fr_5355	mettre les voiles	"mettre les voile /  ""mettre les voiles"" (partir)"
fr_5370	file	file (passe vite) / file (file d'attente)
fr_5388	feedbach	feedbach / feedback + Bach (Jean-Sébastien Bach)
fr_5428	objectifs	objectif (but)/objectif {appareil photo}
fr_5430	gleem	gleem / clim (climatisation)
fr_5431	admit	admettre (accueillir) / admettre (concéder)
fr_5457	on l'a piqué	"se faire piquer / ""se faire piquer"" (se faire prendre)"
fr_5460	chouette	chouette (oiseau) / chouette (sympa)
fr_5462	fils	fils/filons
fr_5466	longement	longuement (longtemps) / long (grand)
fr_5468	vers	vers (direction) / vers (destinée)
fr_5469	percer	percer (trouer) / percer (acquérir de la notoriété)
fr_5479	sphincter	sphincter / Richter
fr_5480	candide	candide (naïf) / Candide (personnage de Voltaire)
fr_5485	prier	prier / payer
fr_5499	objectifs	objectif {photographie} / objectif (but)
fr_5503	cage aux oisifs	cage aux oiseaux + oisifs (personnes paresseuses)
fr_5504	raffinés	raffinés (de haute société) / raffinés (produit qui a été transformé)
fr_5516	zeste	zeste / geste
fr_5518	Derek	déflorer (perdre ses fleurs) / déflorer (perdre sa virginité)
fr_5548	présent	présent (époque actuelle).présent (cadeau)
fr_5558	gravité	gravité {physique} / gravité (sérieux)
fr_5563	vision	vision (vue) / vision (idée)
fr_5569	cher | rèche	cher / rèche
fr_5570	appropriée	appropriée (correcte) / appropriée (en acquérant la propriété)
fr_5594	grouillent	grouiller (abonder)/grouiller (mouvement d'insectes)
fr_5606	faire le pied de grue	"faire le pied de grue /  ""faire le pied de grue"" (attendre) ~ <canard; grue>"
fr_5617	la laine	la laine / l'haleine
fr_5626	Ambition | Distraction | Enjolification | Dérision	ambition / addition ~ distraction / soustraction ~ enjolification / multiplication ~ dérision / division
fr_5629	orchestré	orchestré (musique) /  orchestré (organisé)
fr_5648	jet-er	jeter/jet
fr_5654	POPUCE-ARITÉ	popularité + puce
fr_5655	pieds	"sauter sur l'offre / ""sauter sur l'offre"" (profiter de l'offre)"
fr_5656	intestin	intestin / instinct
fr_5657	règles	règles {géométrie} /  règles (règlement)
fr_5674	piqué à vif	"piqué à vif / ""piqué à vif"" (vexé)"
fr_5676	pétrin	"être dans le pétrin / ""être dans le pétrin"" (avoir des ennuis)"
fr_5678	amorça	amorcer (charger une arme)/amorcer (entamer)
fr_5679	bouleau	bouleau / boulot
fr_5682	enguirlandé | il avait les boules	"enguirlandé / guirlande | ""avoir les boules"" (être énervé) / boules de noël (décoration)"
fr_5685	sabordé	saborder (couler un navire) / saborder (mettre fin à une activité)
fr_5694	déraillent	dérailler {train} / dérailler (déraisonner)
fr_5703	et que ça saute	"sauter / ""et que ça saute"""
fr_5705	s'accorda	s'accorder (s'entendre) / s'accorder (régler le son)
fr_5714	plaicidement	terminal {aéroport} / terminal (final)
fr_5717	cancanna	cancaner + Cannes
fr_5741	exorcismes	exorcismes / exercices
fr_5747	admit	admettre (accueillir) / admettre (concéder)
fr_5763	prendre	prendre (voler) / prendre (avaler)
fr_5771	Oscar	Oscar (récompense) / Oscar (Oscar Wilde)
fr_5774	rouge | bleue	rouge (couleur) / rouge {viande} | bleu (couleur) / bleu {cuisson}
fr_5797	en chœur	"en chœur /  ""en chœur"" (d'une seule voix)"
fr_5802	assurée	assuré (assurance) / assuré {escalade}
fr_5808	être | peu plié	être / hêtre | peu plié / peuplier ~ <planche; hêtre; peuplier>
fr_5812	tempête	tempête (perturbation atmosphérique) / tempête (agitation)
fr_5817	thé-shirt	thé-shirt / T-shirt
fr_5824	perspective	perspective {art} / perspective (point de vue)
fr_5832	à l'unisson	"à l'unisson {musique} / ""à l'unisson"" (d'une seule voix)"
fr_5845	sorite	sorite / sortie
fr_5848	difficile à avaler	"difficile à avalaer / ""difficile à avaler"" (difficile à croire)"
fr_5850	mère	mère / mer
fr_5853	frôlons	frôlons / frelons
fr_5876	attachés	être attaché (être fixé) / être attaché (s'enticher)
fr_5879	[?]	abus de langage
fr_5881	psaumes	psaume / paume
fr_5903	s'arracher les cheveux	"s'arracher les cheveux /  ""s'arracher les cheveux"" (se faire du soucis)"
fr_5929	Ringo	Ringo/ring
fr_5938	espace	espace (place) / espace (vide spatial)
fr_5947	ne baissa les bras	"baisser les bras / ""baisser les bras"" (abandonner)"
fr_5961	toast	toast (pain) / toast (célébration)
fr_5962	épingler	épingler (accrocher) / épingler (incriminer)
fr_5982	il se faisait des noeuds	"""se faire des noeuds"" (réfléchir intensément)/noeuds (cercle sur un tronc d'abre)"
fr_5986	brosse à dent | hérissés	<brosse à dents; poils hérissés>
fr_6020	granuleuse	granuleuse {sable}/granuleuse {photographie}
fr_6021	chronique	chronique (continuel) /  chronique (rubrique)
fr_6035	franc	franc / Franck (Franck sinatra)
fr_6037	bIERe	bière + hier ~ <hier;passé>
fr_6040	Élie	"Élie Kakou ""L'oiseau""/Élie (prénom)"
fr_6045	un esprit sain dans un corps plein	"un esprit sain dans un corps plein / ""Un esprit sain dans un corps sain"""
fr_6068	fond	fonds {commerce} / fond (partie la plus basse)
fr_6070	charger	charger (energie)/charger (taxe)
fr_6105	creuser	creuser (approfondir) / creuser (excaver)
fr_6110	droit	droit (à droite) / droit (en ligne droite)
fr_6112	enchaîne | déchaîne	enchaîne & déchaîne
fr_6117	pointa	pointer (indiquer) / pointe (clou)
fr_6124	grandir | rafraîchit | branches | entreprise	grandir (développement de l'entreprise) / grandir (plante qui pousse) | rafraîchit (mettre à neuf) / rafraîchit (arroser)
fr_6134	freulaté	freud + frelaté
fr_6138	gecko	gecko / écho
fr_6144	goût	goût (jugement)/goût (saveur)
fr_6154	coolitude	coolitude / coolie
fr_6167	pris	prendre (s'emparer de) / prendre (subir)
fr_6170	croissant	croissant (viennoiserie) / croissant (croître)
fr_6202	Manuel	Manuel (prénom) / manuel (livre)
fr_6203	cariement	carie + carrément
fr_6227	précipitacion	précipitation (hâtif) / précipitation {météo}
fr_6243	chouette	chouette (oiseau) / chouette (sympa)
fr_6260	submergé	submergé (plonger dans une activité) / submergé (aller sous la surface de l'eau)
fr_6261	carrément	carrément / carré ~ <quatre coins; carré>
fr_6264	temporament	tempérament + tempo
fr_6269	en rugissant	rugir (crier) / rugir {lion}
fr_6273	tuant	tuant (fatiguant) / tuer
fr_6274	salement	salement / sale
fr_6278	beauté	l'autre beauté / l'autre côté
fr_6279	voix au chapitre	"voix au chapitre /  ""voix au chapitre"" (droit de donner son avis)"
fr_6283	déchire	déchirer (être formidable) / déchirer (déchiqueter)
fr_6286	a eu le coup d'œil	"avoir le coup d'œil / ""avoir le coup d'œil"" (faire preuve de jugement) ~ <lunettes; œil>"
fr_6288	Marx-é	marqué/Marx
fr_6290	ligne	ligne {pêche} / ligne {téléphone}
fr_6310	Smart | intelligent	<smart;intelligent>
fr_6323	rares thés	rares thés / raretés
fr_6331	pondéré	pondéré / pondre
fr_6334	solitaire	solitaire (seul) / solitaire (jeu)
fr_6364	selle	"""régime sans sel"" + selle"
fr_6366	faire à leur mode	"""faire à sa mode"" (""faire à sa façon"") / mode {habillement}"
fr_6371	chevalet | pincé	chevalet / je vais aller | pincé / pinceau
fr_6383	marge-arine	marge + margarine
fr_6385	facultés	faculté (université) / faculté (capacité)
fr_6394	lundisponibilité	lundisponibilité / lundi + indisponibilité
fr_6407	enivrant	enivrant {alcool} / enivrant (exaltant)
fr_6416	facultés	faculté (capacité) / faculté (université)
fr_6419	accroc	accroc (problème) / accroc {vêtement}
fr_6423	savoir-fer	savoir-fer / savoir faire
fr_6430	aire	aire / air
fr_6433	sur-le-champ	champ {baseball} / sur-le-champ (immédiatement)
fr_6440	transparent	transparent / parent
fr_6453	bordel	bordel (désordre) /  bordel (maison close)
fr_6471	appelle moi	appeler (nommer) / appeler (contacter)
fr_6487	cétacé | c'est assez	cétacé / c'est assez
fr_6488	serrée	serré (très ajusté) / serré (âpre)
fr_6495	àquille	àquille / acquis
fr_6500	dérivées	dérivées (inspirées d'autres oeuvres) / dérivées (principe mathématique)
fr_6507	les bras m'en tombent	"les bras m'en tombent /  ""les bras m'en tombent"" (je suis surpris)"
fr_6515	sabot | ça beau	sabot / ça beau
fr_6524	en venir	en venir (parvenir à une conclusion)/venir (se déplacer)
fr_6526	fort | relever	fort (vigoureux) / fort (intense) | relever (redresser) / relever (épicer)
fr_6528	ça laisse des traces	Marx / maximum
fr_6561	droit	droit (à droite) / droit (autorisation)
fr_6618	submergé	submergé (sous l'eau) /  submergé (débordé de travail)
fr_6635	abat beaucoup de travail	"""abattre du travail"" / abattre un arbre"
fr_6636	noyer	noyer (mourir d'asphixie dans l'eau) / noyer (dévouer avec passion)
fr_6647	notamment	notamment / note ~ <musique;note>
fr_6649	se reposer sur ses lauriers	"se reposer sur ses lauriers /  ""se reposer sur ses lauriers"" (se reposer)"
fr_6652	sup-herbe	sup-herbe / superbe
fr_6673	on a bondir | bond	on a bondir / on a beau dire | bond / bon
fr_6680	aux p'tits oignons	"""aux p'tits oignons"" (soigneusement) / oignon (cor)"
fr_6684	ils sortent juste de leurs gonds	"sortir de ses gonds / ""sortir de ses gonds"" (s'énerver)"
fr_6726	Pat'	Pat/patte
fr_6729	à la bar	à la barre + au bar
fr_6739	attrapé la mort	"""attraper la mort"" (prendre froid) / attraper la mort (mourir)"
fr_6740	âge mûr	âge mûr/mûr
fr_6748	Monet	Monet / monnaie
fr_6765	sur la bonne voie	"sur la bonne voie / ""sur la bonne voie"" (positivement)"
fr_6766	l'attentation	l'attente + la tentation
fr_6768	transparent	transgenre + parent ~ <invisibile; transparent>
fr_6773	embrouillards	s'embrouiller + brouillard
fr_6778	tombé dans les pommes | mangé | poire	remorqué / remarqué
fr_6787	épidermiques	<citron;amèrement>
fr_6795	jus	jus (énergie) / jus (électricité)
fr_6824	"je l'ai ""vue"""	Frank Khavu a vu l'heure ~ a vu/khavu
fr_6829	SI | Venn	"SI (conditions pour excel) / ""avec des SI on met Paris en bouteille"" | Venn / ""avoir de la veine"""
fr_6832	air entendu	"entendu (compris) / ""air entendu"" (connivence)"
fr_6841	U.N A.C.C.I.D.E.N.T.	U.N A.C.C.I.D.E.N.T. (un accident)
fr_6849	chatastrophe	chatastrophe / catastrophe
fr_6851	elle allait souvent aux asperges	"aller aux asperges / ""aller aux asperges"" (se prostituer)"
fr_6855	liquidation	liquidation / liquide
fr_6872	friand	friand (fan)/friand (nourriture)
fr_6873	cétacé	cétacé / c'est assez
fr_6881	créativi-THÉ	créativité + thé
fr_6882	rupture	rupture (quelque chose qui romp sous un effort excessive, rupture des ligaments, etc.)/rupture de stock
fr_6896	grossièrement	grossièrement / gros
fr_6901	la dent dure	"avoir la dent dure /  ""avoir la dent dure"" (tenir des propos agressifs)"
fr_6935	en miettes	"en miettes (en morceau) / ""en miettes"" (brisé)"
fr_6939	relâcher l'ex-pression	relâcher l'ex-pression / relâcher la pression
fr_6947	carte maîtresse	carte (carte bancaire) / carte maîtresse (atout)
fr_6961	ramasse	ramasse / masse
fr_6972	expirent	expirer (mourir) / expirer (échoir)
fr_6976	brillants | rayonnement	brillant (intelligent) / brillant (lumineux) | rayonnement (influence) / rayonnement (radiation) ~ <soleil; brillant; rayon>
fr_6979	grassement	grassement / gras
fr_6982	épidermiques	déraper (glisser) / déraper (s'écarter de ce qui est admis)
fr_6988	trou	trou (orifice)/trou (manque)
fr_6992	pointue	pointue (aigüe) / pointe
fr_6993	haletait	a le thé/haletait
fr_7043	Leo	leo (lion en grec) / lion
fr_7049	cloche	cloche (idiote) / cloche (instrument creux) fait de métal
fr_7050	transparentes	transparent (limpide) / transparent (évident)
fr_7055	parquing	parking+par qui
fr_7064	blair	blair / flair
fr_7069	déflorés	déflorer (perdre ses fleurs) / déflorer (perdre sa virginité)
fr_7071	dé faux | dé fois	dé faux (défaut) | dé fois / des fois
fr_7078	goût	goût (sens gustatif) / goût (critique objective)
fr_7080	diriger	"""gagne-pain"" / pain"
fr_7082	pédale tellement dans la semoule	"""pédaler dans la semoule"" (se démener sans avancer)/semoule (semoule de couscous)"
fr_7092	père | père | père	père / père / père
fr_7119	pas y compter	y compter (faire confiance à une promesse) / compter (faire des calculs)
fr_7134	réaction	réaction / réaction (réaction chimique)
fr_7143	gérant vert	"gérant + ""géant vert"" (marque déposée)"
fr_7149	hostel	hostel {anglais}/hostile
fr_7156	pétrin	pétrin (peine) / pétrin (hélices d'une machine à pâte)
fr_7157	racine	racine {végétal} / racine (origine)
fr_7171	KOA couper le souffle	"guerre des étoiles / ""La Guerre des étoiles"" (film)"
fr_7180	Monet	Monet / monnaie
fr_7182	détaillant	détailler / dé+tailler
fr_7187	rates	rater (ne pas atteindre la cible)/manquer (ne pas voir)
fr_7191	pointe	"pointe (clou) / ""de pointe"" (très avancé)"
fr_7199	les petites boursins	"""les petites bourses"" + boursins"
fr_7211	possessif	possessif {psychologie} / possessif {grammaire}
fr_7221	réfléchissant	réfléchir (penser) / réfléchir (refléter)
fr_7230	réfléchissant	réfléchir (penser) / réfléchir (refléter)
fr_7235	elle se forgeait déjà sa propre destinée	"se forger sa destinée / ""se forger sa destinée"" (déterminer son avenir)"
fr_7243	paquets	<Data;paquets>
fr_7262	déraillent	dérailler (quitter ses rails) / dérailler (divaguer)
fr_7263	tour	tour (numéro d'adresse) / tour (action de tourner)
fr_7272	pinces	pince {crabe} / pince (avard)
fr_7274	ça baigne	"ça baigne /  ""ça baigne"" (ça va)"
fr_7283	sauttises	sottises + saut
fr_7287	fracassantes	fracassantes (choquante)/fracassantes (se briser contre quelque chose)
fr_7289	détenché	déclencher + détente
fr_7292	moisir	moisir / choisir ~ <chamignon; moisissure>
fr_7296	Derek	Derek / derrick
fr_7299	voler de ses propres ailes	"voler de ses propres ailes /  ""voler de ses propres ailes"" (prendre ses propres décisions)"
fr_7307	flatte	flatter / flotter
fr_7311	enterré	enterré (inhumé) / enterré (surchargé)
fr_7327	tronc	tronc (bustes) / tronc {arbre}
fr_7328	poule mouillée	"""poule mouillée""/poule (animal)"
fr_7332	secant	classe (charme) / classe (salle)
fr_7335	décollé	décoler (avoir du succès)/décoler (dans les airs)
fr_7354	m'aille	m'aille / maille ~ <maillons; maille>
fr_7364	combinaison	combinaison (assortiment) / combinaison {coffre}
fr_7391	butiner des infos	Butiner (récupérer des infos)/butiner (récupérer le pollen sur les fleurs)
fr_7401	bonnet | sous tifs	bonnet (couvre-chef) / bonnet (tour de poitrine) | sous tifs (sous les cheveux) / soutif (soutien-gorge) 
fr_7408	en font des caisses	"en faire des caisses / ""en faire des caisses"" (exagérer)"
fr_7429	parfum-pliquer	parfum + impliquer
fr_7437	cartes	carte (carton) / carte {cartomancie}
fr_7445	maternité	maternité/éternité
fr_7451	tasse de thé	"""tasse de thé"" (expression)/tasse de thé (vaisselle)"
fr_7458	ne gardent plus la tête hors l'eau	souffleur / souffle
fr_7468	épingler	épingler (accrocher) / épingler (incriminer)
